Calpeptin_400uM_in_WT_24uM_28C_X,Calpeptin_400uM_in_WT_24uM_28C_Y
9.8,9.69072
9.816667,9.69081
9.833333,9.69079
9.85,9.69125
9.866667,9.69175
9.883333,9.6918
9.9,9.69102
9.916667,9.6912
9.933333,9.69209
9.95,9.69245
9.966667,9.69274
9.983333,9.69332
10,9.6934
10.016667,9.6938
10.033333,9.6943
10.05,9.69358
10.066667,9.69351
10.083333,9.6936
10.1,9.69334
10.116667,9.69305
10.133333,9.69293
10.15,9.69331
10.166667,9.69393
10.183333,9.69458
10.2,9.69524
10.216667,9.69559
10.233333,9.69576
10.25,9.69576
10.266667,9.69564
10.283333,9.69552
10.3,9.69554
10.316667,9.69579
10.333333,9.69619
10.35,9.69661
10.366667,9.69706
10.383333,9.69779
10.4,9.69852
10.416667,9.69909
10.433333,9.6994
10.45,9.69956
10.466667,9.69956
10.483333,9.69931
10.5,9.69912
10.516667,9.69942
10.533333,9.69981
10.55,9.70027
10.566667,9.70052
10.583333,9.70067
10.6,9.70063
10.616667,9.70045
10.633333,9.70044
10.65,9.70044
10.666667,9.70003
10.683333,9.69984
10.7,9.6995
10.716667,9.69894
10.733333,9.69845
10.75,9.69818
10.766667,9.6982
10.783333,9.69823
10.8,9.69827
10.816667,9.6984
10.833333,9.69865
10.85,9.6986
10.866667,9.69808
10.883333,9.69758
10.9,9.69755
10.916667,9.69774
10.933333,9.69757
10.95,9.69766
10.966667,9.69719
10.983333,9.69706
11,9.69899
11.016667,9.70192
11.033333,9.70183
11.05,9.69707
11.066667,9.68499
11.083333,9.66291
11.1,9.63818
11.116667,9.61619
11.133333,9.59423
11.15,9.57407
11.166667,9.56872
11.183333,9.57519
11.2,9.58182
11.216667,9.59266
11.233333,9.60253
11.25,9.61157
11.266667,9.61969
11.283333,9.62729
11.3,9.633
11.316667,9.63697
11.333333,9.64056
11.35,9.644
11.366667,9.64692
11.383333,9.65124
11.4,9.65551
11.416667,9.65958
11.433333,9.663
11.45,9.66615
11.466667,9.66873
11.483333,9.67126
11.5,9.67409
11.516667,9.67705
11.533333,9.67885
11.55,9.67968
11.566667,9.68077
11.583333,9.68175
11.6,9.68221
11.616667,9.68316
11.633333,9.68433
11.65,9.68542
11.666667,9.68656
11.683333,9.6876
11.7,9.68819
11.716667,9.68838
11.733333,9.68829
11.75,9.68815
11.766667,9.68822
11.783333,9.68839
11.8,9.6885
11.816667,9.68861
11.833333,9.68905
11.85,9.68961
11.866667,9.68999
11.883333,9.69025
11.9,9.69064
11.916667,9.69102
11.933333,9.69112
11.95,9.69085
11.966667,9.69059
11.983333,9.69074
12,9.69053
12.016667,9.69084
12.033333,9.69122
12.05,9.69155
12.066667,9.69199
12.083333,9.69248
12.1,9.69314
12.116667,9.69372
12.133333,9.69435
12.15,9.69464
12.166667,9.6945
12.183333,9.6941
12.2,9.69366
12.216667,9.69325
12.233333,9.69298
12.25,9.69282
12.266667,9.69328
12.283333,9.69405
12.3,9.69485
12.316667,9.69568
12.333333,9.6963
12.35,9.69649
12.366667,9.6965
12.383333,9.69654
12.4,9.69632
12.416667,9.69636
12.433333,9.69717
12.45,9.69747
12.466667,9.69743
12.483333,9.69737
12.5,9.69723
12.516667,9.69746
12.533333,9.69802
12.55,9.69875
12.566667,9.69947
12.583333,9.69994
12.6,9.7001
12.616667,9.69999
12.633333,9.69989
12.65,9.69962
12.666667,9.69945
12.683333,9.6994
12.7,9.69944
12.716667,9.6993
12.733333,9.69895
12.75,9.69863
12.766667,9.69848
12.783333,9.69843
12.8,9.69875
12.816667,9.69958
12.833333,9.70121
12.85,9.7005
12.866667,9.70028
12.883333,9.70014
12.9,9.70005
12.916667,9.7001
12.933333,9.70029
12.95,9.70126
12.966667,9.70544
12.983333,9.71501
13,9.73464
13.016667,9.76107
13.033333,9.77824
13.05,9.78057
13.066667,9.7773
13.083333,9.77158
13.1,9.76605
13.116667,9.76118
13.133333,9.75675
13.15,9.75289
13.166667,9.7493
13.183333,9.74655
13.2,9.74377
13.216667,9.74122
13.233333,9.73803
13.25,9.73488
13.266667,9.73161
13.283333,9.72861
13.3,9.72604
13.316667,9.72366
13.333333,9.72135
13.35,9.7192
13.366667,9.71726
13.383333,9.71546
13.4,9.71387
13.416667,9.71252
13.433333,9.70997
13.45,9.70683
13.466667,9.70395
13.483333,9.70247
13.5,9.701
13.516667,9.70215
13.533333,9.70214
13.55,9.69395
13.566667,9.68508
13.583333,9.67519
13.6,9.66778
13.616667,9.66041
13.633333,9.65464
13.65,9.64083
13.666667,9.62264
13.683333,9.61732
13.7,9.62091
13.716667,9.62791
13.733333,9.63388
13.75,9.64112
13.766667,9.6494
13.783333,9.65699
13.8,9.66539
13.816667,9.67157
13.833333,9.67532
13.85,9.67777
13.866667,9.67951
13.883333,9.68132
13.9,9.68293
13.916667,9.68505
13.933333,9.68771
13.95,9.69008
13.966667,9.69217
13.983333,9.69389
14,9.69514
14.016667,9.69608
14.033333,9.69682
14.05,9.69744
14.066667,9.69793
14.083333,9.69816
14.1,9.69826
14.116667,9.69847
14.133333,9.69898
14.15,9.69979
14.166667,9.70037
14.183333,9.70061
14.2,9.70093
14.216667,9.70125
14.233333,9.70163
14.25,9.70204
14.266667,9.70227
14.283333,9.70276
14.3,9.70314
14.316667,9.70349
14.333333,9.70348
14.35,9.70341
14.366667,9.70337
14.383333,9.70347
14.4,9.70373
14.416667,9.70413
14.433333,9.7046
14.45,9.70521
14.466667,9.70569
14.483333,9.70596
14.5,9.70616
14.516667,9.70653
14.533333,9.70688
14.55,9.70708
14.566667,9.70708
14.583333,9.70697
14.6,9.70678
14.616667,9.70652
14.633333,9.70626
14.65,9.7064
14.666667,9.70697
14.683333,9.70755
14.7,9.70793
14.716667,9.70816
14.733333,9.70832
14.75,9.70851
14.766667,9.70885
14.783333,9.70926
14.8,9.70945
14.816667,9.70988
14.833333,9.71052
14.85,9.71082
14.866667,9.71082
14.883333,9.71077
14.9,9.7109
14.916667,9.7113
14.933333,9.71181
14.95,9.71232
14.966667,9.71278
14.983333,9.71298
15,9.71284
15.016667,9.7127
15.033333,9.71281
15.05,9.7126
15.066667,9.71254
15.083333,9.71251
15.1,9.71251
15.116667,9.71227
15.133333,9.71173
15.15,9.71134
15.166667,9.71103
15.183333,9.7108
15.2,9.71094
15.216667,9.71138
15.233333,9.71192
15.25,9.71212
15.266667,9.71213
15.283333,9.7121
15.3,9.71218
15.316667,9.71227
15.333333,9.71231
15.35,9.71218
15.366667,9.71198
15.383333,9.7116
15.4,9.71144
15.416667,9.71148
15.433333,9.7116
15.45,9.71178
15.466667,9.71186
15.483333,9.71186
15.5,9.71193
15.516667,9.712
15.533333,9.71203
15.55,9.71193
15.566667,9.71171
15.583333,9.7115
15.6,9.71131
15.616667,9.71111
15.633333,9.71082
15.65,9.71058
15.666667,9.71028
15.683333,9.71009
15.7,9.71019
15.716667,9.71081
15.733333,9.71148
15.75,9.71192
15.766667,9.71221
15.783333,9.71242
15.8,9.71255
15.816667,9.71259
15.833333,9.71269
15.85,9.71277
15.866667,9.71283
15.883333,9.71319
15.9,9.71354
15.916667,9.714
15.933333,9.71512
15.95,9.71652
15.966667,9.71593
15.983333,9.71505
16,9.71635
16.016667,9.72055
16.033333,9.71877
16.05,9.70957
16.066667,9.6943
16.083333,9.67976
16.1,9.67094
16.116667,9.66673
16.133333,9.66264
16.15,9.6586
16.166667,9.6574
16.183333,9.65815
16.2,9.659
16.216667,9.65937
16.233333,9.66088
16.25,9.66248
16.266667,9.66407
16.283333,9.66587
16.3,9.67051
16.316667,9.67431
16.333333,9.67699
16.35,9.68091
16.366667,9.68527
16.383333,9.68958
16.4,9.69187
16.416667,9.69378
16.433333,9.69573
16.45,9.69742
16.466667,9.69885
16.483333,9.70055
16.5,9.70242
16.516667,9.70466
16.533333,9.70564
16.55,9.70677
16.566667,9.70774
16.583333,9.70821
16.6,9.70842
16.616667,9.70861
16.633333,9.70863
16.65,9.70879
16.666667,9.70923
16.683333,9.70967
16.7,9.70984
16.716667,9.70964
16.733333,9.70943
16.75,9.70931
16.766667,9.70913
16.783333,9.70928
16.8,9.70954
16.816667,9.70957
16.833333,9.70965
16.85,9.70992
16.866667,9.70994
16.883333,9.7099
16.9,9.70984
16.916667,9.70986
16.933333,9.70988
16.95,9.70984
16.966667,9.70994
16.983333,9.71021
17,9.71049
17.016667,9.71092
17.033333,9.7113
17.05,9.71164
17.066667,9.71197
