Calpeptin_400uM_in_Q256A_24uM_28C_2_X,Calpeptin_400uM_in_Q256A_24uM_28C_2_Y
17.166667,9.77839
17.183333,9.77819
17.2,9.77773
17.216667,9.77691
17.233333,9.77573
17.25,9.77464
17.266667,9.77368
17.283333,9.77305
17.3,9.77254
17.316667,9.7721
17.333333,9.77153
17.35,9.77086
17.366667,9.76996
17.383333,9.76898
17.4,9.76906
17.416667,9.76934
17.433333,9.77019
17.45,9.77136
17.466667,9.77259
17.483333,9.77359
17.5,9.77455
17.516667,9.77566
17.533333,9.77682
17.55,9.77808
17.566667,9.77964
17.583333,9.78148
17.6,9.78327
17.616667,9.7849
17.633333,9.78613
17.65,9.78695
17.666667,9.78762
17.683333,9.78843
17.7,9.78981
17.716667,9.79105
17.733333,9.79186
17.75,9.79231
17.766667,9.79202
17.783333,9.79125
17.8,9.79038
17.816667,9.78979
17.833333,9.78932
17.85,9.78833
17.866667,9.78694
17.883333,9.78549
17.9,9.78399
17.916667,9.78229
17.933333,9.78127
17.95,9.78092
17.966667,9.78044
17.983333,9.77986
18,9.77913
18.016667,9.77817
18.033333,9.77692
18.05,9.77554
18.066667,9.7742
18.083333,9.77316
18.1,9.77322
18.116667,9.77438
18.133333,9.77592
18.15,9.77727
18.166667,9.77814
18.183333,9.77864
18.2,9.77954
18.216667,9.78023
18.233333,9.78037
18.25,9.78156
18.266667,9.78392
18.283333,9.78551
18.3,9.78587
18.316667,9.78553
18.333333,9.78476
18.35,9.78386
18.366667,9.78398
18.383333,9.7861
18.4,9.78716
18.416667,9.78515
18.433333,9.7829
18.45,9.7809
18.466667,9.77886
18.483333,9.77715
18.5,9.77585
18.516667,9.77516
18.533333,9.77478
18.55,9.77052
18.566667,9.76604
18.583333,9.75956
18.6,9.75206
18.616667,9.74576
18.633333,9.74109
18.65,9.73788
18.666667,9.73647
18.683333,9.73564
18.7,9.73427
18.716667,9.73316
18.733333,9.73319
18.75,9.73246
18.766667,9.73268
18.783333,9.73284
18.8,9.7343
18.816667,9.73755
18.833333,9.7406
18.85,9.7428
18.866667,9.74519
18.883333,9.74797
18.9,9.75082
18.916667,9.75353
18.933333,9.75597
18.95,9.75802
18.966667,9.75935
18.983333,9.76022
19,9.76127
19.016667,9.76239
19.033333,9.76363
19.05,9.76419
19.066667,9.76483
19.083333,9.76522
19.1,9.76563
