Calpeptin_400uM_in_N214A_24uM_28C_X,Calpeptin_400uM_in_N214A_24uM_28C_Y
17.25,9.47218
17.266667,9.47266
17.283333,9.47312
17.3,9.47347
17.316667,9.47373
17.333333,9.47407
17.35,9.47438
17.366667,9.47427
17.383333,9.47408
17.4,9.47386
17.416667,9.47384
17.433333,9.47393
17.45,9.47404
17.466667,9.47422
17.483333,9.47424
17.5,9.47407
17.516667,9.47368
17.533333,9.47337
17.55,9.47299
17.566667,9.47278
17.583333,9.47293
17.6,9.4732
17.616667,9.47366
17.633333,9.47391
17.65,9.47392
17.666667,9.47385
17.683333,9.47382
17.7,9.47396
17.716667,9.47407
17.733333,9.47419
17.75,9.47404
17.766667,9.47406
17.783333,9.47397
17.8,9.47401
17.816667,9.47415
17.833333,9.4744
17.85,9.4746
17.866667,9.4749
17.883333,9.47505
17.9,9.47511
17.916667,9.47498
17.933333,9.47485
17.95,9.47462
17.966667,9.47436
17.983333,9.47443
18,9.47468
18.016667,9.47491
18.033333,9.47483
18.05,9.47466
18.066667,9.47458
18.083333,9.47468
18.1,9.47478
18.116667,9.47495
18.133333,9.47509
18.15,9.47532
18.166667,9.47544
18.183333,9.47549
18.2,9.47562
18.216667,9.47544
18.233333,9.47498
18.25,9.47482
18.266667,9.47474
18.283333,9.47459
18.3,9.47441
18.316667,9.47399
18.333333,9.4735
18.35,9.47323
18.366667,9.47335
18.383333,9.47361
18.4,9.47346
18.416667,9.47283
18.433333,9.47205
18.45,9.4724
18.466667,9.47242
18.483333,9.47171
18.5,9.47183
18.516667,9.47388
18.533333,9.47501
18.55,9.47492
18.566667,9.47329
18.583333,9.46126
18.6,9.44248
18.616667,9.41815
18.633333,9.39454
18.65,9.39284
18.666667,9.4053
18.683333,9.41949
18.7,9.43043
18.716667,9.43741
18.733333,9.44287
18.75,9.4463
18.766667,9.44894
18.783333,9.45031
18.8,9.45154
18.816667,9.45328
18.833333,9.45548
18.85,9.45798
18.866667,9.46044
18.883333,9.46192
18.9,9.46335
18.916667,9.46469
18.933333,9.46598
18.95,9.46731
18.966667,9.46847
18.983333,9.46934
19,9.46999
19.016667,9.4711
19.033333,9.47239
19.05,9.4731
19.066667,9.47406
19.083333,9.47471
19.1,9.47507
19.116667,9.4752
19.133333,9.47526
19.15,9.47538
19.166667,9.47532
19.183333,9.47552
19.2,9.47566
19.216667,9.47566
19.233333,9.47563
19.25,9.47547
19.266667,9.47543
19.283333,9.47545
19.3,9.47556
19.316667,9.47567
19.333333,9.47562
19.35,9.47536
