Calpeptin_400uM_in_S256A_24uM_28C_X,Calpeptin_400uM_in_S256A_24uM_28C_Y
11.9,9.36773
11.916667,9.36763
11.933333,9.36764
11.95,9.3678
11.966667,9.36804
11.983333,9.36829
12,9.36829
12.016667,9.36895
12.033333,9.36969
12.05,9.36966
12.066667,9.36934
12.083333,9.36918
12.1,9.369
12.116667,9.36962
12.133333,9.3701
12.15,9.36995
12.166667,9.36993
12.183333,9.37039
12.2,9.37131
12.216667,9.37223
12.233333,9.3727
12.25,9.37287
12.266667,9.37324
12.283333,9.37348
12.3,9.37317
12.316667,9.37284
12.333333,9.37261
12.35,9.37242
12.366667,9.37211
12.383333,9.3719
12.4,9.37183
12.416667,9.37188
12.433333,9.37204
12.45,9.37223
12.466667,9.37237
12.483333,9.37262
12.5,9.37286
12.516667,9.37306
12.533333,9.3733
12.55,9.37343
12.566667,9.37353
12.583333,9.37372
12.6,9.37419
12.616667,9.37463
12.633333,9.37509
12.65,9.37515
12.666667,9.37486
12.683333,9.37442
12.7,9.37454
12.716667,9.37498
12.733333,9.37553
12.75,9.37607
12.766667,9.37637
12.783333,9.37661
12.8,9.37675
12.816667,9.37644
12.833333,9.37598
12.85,9.37561
12.866667,9.37541
12.883333,9.37577
12.9,9.37672
12.916667,9.37728
12.933333,9.37743
12.95,9.37774
12.966667,9.37831
12.983333,9.37924
13,9.37978
13.016667,9.37986
13.033333,9.37944
13.05,9.37869
13.066667,9.37852
13.083333,9.37783
13.1,9.37693
13.116667,9.37653
13.133333,9.37662
13.15,9.37658
13.166667,9.37642
13.183333,9.37651
13.2,9.37647
13.216667,9.37584
13.233333,9.37519
13.25,9.37481
13.266667,9.37544
13.283333,9.37598
13.3,9.37627
13.316667,9.3767
13.333333,9.37748
13.35,9.37775
13.366667,9.37793
13.383333,9.37802
13.4,9.3786
13.416667,9.37904
13.433333,9.37945
13.45,9.37887
13.466667,9.37785
13.483333,9.37731
13.5,9.37642
13.516667,9.37119
13.533333,9.3681
13.55,9.36276
13.566667,9.35436
13.583333,9.3454
13.6,9.33971
13.616667,9.33652
13.633333,9.33325
13.65,9.32999
13.666667,9.32427
13.683333,9.31871
13.7,9.31774
13.716667,9.31899
13.733333,9.32123
13.75,9.32437
13.766667,9.32753
13.783333,9.33158
13.8,9.3368
13.816667,9.34094
13.833333,9.34499
13.85,9.34875
13.866667,9.35476
13.883333,9.36072
13.9,9.36227
13.916667,9.36206
13.933333,9.3634
13.95,9.36455
13.966667,9.36563
13.983333,9.36656
14,9.36763
14.016667,9.36861
14.033333,9.36911
14.05,9.36937
14.066667,9.36979
14.083333,9.37046
14.1,9.37113
14.116667,9.37124
14.133333,9.37177
14.15,9.37233
14.166667,9.37272
14.183333,9.37305
14.2,9.37352
