overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.812, 1.756,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.345,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.889, 2.456,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.399, 1.933,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.117, 1.686,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.914, 1.635,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.806, 1.651,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.831, 1.779,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.354,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.889, 2.448,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.380, 1.946,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.121, 1.705,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.923, 1.655,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.820, 1.669,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.851, 1.801,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.873, 2.440,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.378, 1.954,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.134, 1.721,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.935, 1.676,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.839, 1.690,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.869, 1.822,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.352,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.787, 2.426,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.377, 1.956,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.131, 1.721,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.934, 1.678,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.846, 1.697,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.879, 1.835,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.301, 3.181,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.736, 2.392,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.344, 1.941,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.110, 1.713,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.924, 1.669,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.835, 1.683,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.867, 1.823,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.258, 3.164,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.708, 2.369,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.317, 1.913,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.081, 1.692,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.901, 1.649,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.813, 1.670,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.847, 1.797,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.474, 3.084,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.682, 2.322,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.266, 1.873,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
