1.440, 1.414, 1.536, 1.677,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.422, 2.785, 3.002, 2.280,     -,     -,     -,     -,     -,     -,     -,     -
2.559, 2.084, 2.187, 3.174,     -,     -,     -,     -,     -,     -,     -,     -
2.034, 1.646, 1.811, 1.906,     -,     -,     -,     -,     -,     -,     -,     -
1.751, 1.439, 1.587, 1.771,     -,     -,     -,     -,     -,     -,     -,     -
1.568, 1.444, 1.532, 1.284,     -,     -,     -,     -,     -,     -,     -,     -
1.470, 1.379, 1.519, 1.939,     -,     -,     -,     -,     -,     -,     -,     -
1.484, 1.456, 1.578, 1.720,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.867, 3.124, 2.352,     -,     -,     -,     -,     -,     -,     -,     -
2.612, 2.150, 2.257, 3.344,     -,     -,     -,     -,     -,     -,     -,     -
2.102, 1.703, 1.867, 1.973,     -,     -,     -,     -,     -,     -,     -,     -
1.812, 1.489, 1.639, 1.829,     -,     -,     -,     -,     -,     -,     -,     -
1.622, 1.492, 1.580, 1.323,     -,     -,     -,     -,     -,     -,     -,     -
1.523, 1.426, 1.567, 2.002,     -,     -,     -,     -,     -,     -,     -,     -
1.536, 1.508, 1.631, 1.773,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.960, 3.186, 2.422,     -,     -,     -,     -,     -,     -,     -,     -
2.647, 2.205, 2.324, 3.429,     -,     -,     -,     -,     -,     -,     -,     -
2.172, 1.756, 1.926, 2.032,     -,     -,     -,     -,     -,     -,     -,     -
1.873, 1.539, 1.691, 1.884,     -,     -,     -,     -,     -,     -,     -,     -
1.677, 1.548, 1.633, 1.363,     -,     -,     -,     -,     -,     -,     -,     -
1.576, 1.476, 1.619, 2.056,     -,     -,     -,     -,     -,     -,     -,     -
1.592, 1.561, 1.683, 1.832,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.063, 3.350, 2.492,     -,     -,     -,     -,     -,     -,     -,     -
2.741, 2.275, 2.373, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.217, 1.810, 1.980, 2.094,     -,     -,     -,     -,     -,     -,     -,     -
1.931, 1.593, 1.744, 1.935,     -,     -,     -,     -,     -,     -,     -,     -
1.734, 1.601, 1.683, 1.400,     -,     -,     -,     -,     -,     -,     -,     -
1.630, 1.527, 1.670, 2.129,     -,     -,     -,     -,     -,     -,     -,     -
1.647, 1.616, 1.740, 1.884,     -,     -,     -,     -,     -,     -,     -,     -

