Chrom.1		
UV		
ml	mAU	
0.959	0.00381931	
0.961	0.003132287	
0.962	0.003029126	
0.963	0.003424532	
0.965	0.003050173	
0.966	0.00356947	
0.967	0.003993032	
0.969	0.00352491	
0.97	0.003855782	
0.971	0.004020407	
0.973	0.004113158	
0.974	0.00444203	
0.975	0.005491447	
0.977	0.005741685	
0.978	0.00532702	
0.979	0.004617001	
0.981	0.004137716	
0.982	0.004225018	
0.983	0.004164519	
0.985	0.00432651	
0.986	0.004089244	
0.987	0.004076613	
0.989	0.00445587	
0.99	0.005597694	
0.991	0.006246745	
0.993	0.00559624	
0.994	0.005061856	
0.995	0.004784809	
0.997	0.004922778	
0.998	0.005067897	
0.999	0.004429953	
1.001	0.004841034	
1.002	0.004272033	
1.003	0.003591183	
1.005	0.003594808	
1.006	0.002340947	
1.007	0.001896882	
1.009	0.001513809	
1.01	0.001651893	
1.011	0.001945049	
1.013	0.001889251	
1.014	0.00201226	
1.015	0.001800549	
1.017	0.0016572	
1.018	0.0004492682	
1.019	0.0007987568	
1.021	0.001357614	
1.022	0.001489846	
1.023	0.001664471	
1.025	0.002379519	
1.026	0.002755401	
1.027	0.003398696	
1.029	0.002882625	
1.03	0.001730046	
1.031	0.001948015	
1.033	0.002056494	
1.034	0.001519991	
1.035	0.001912342	
1.037	0.002564383	
1.038	0.003302593	
1.039	0.003611211	
1.041	0.003970718	
1.042	0.002777397	
1.043	0.003152702	
1.045	0.003916133	
1.046	0.004556669	
1.047	0.005553403	
1.049	0.004967771	
1.05	0.00481002	
1.051	0.005735194	
1.053	0.006224708	
1.054	0.006774107	
1.055	0.006106679	
1.057	0.004996073	
1.058	0.004390026	
1.059	0.005053509	
1.061	0.005023485	
1.062	0.004970883	
1.063	0.005227262	
1.065	0.004830049	
1.066	0.005511476	
1.067	0.003690042	
1.068	0.002424704	
1.07	0.002432489	
1.071	0.00172881	
1.072	0.002199593	
1.074	0.001487933	
1.075	0.001240897	
1.076	0.0007452359	
1.078	0.0003594263	
1.079	-2.875183E-05	
1.08	0.0002151798	
1.082	0.001053337	
1.083	0.0006294434	
1.084	0.002465957	
1.086	0.00290882	
1.087	0.002860661	
1.088	0.002398175	
1.09	0.003030207	
1.091	0.002937577	
1.092	0.003348137	
1.094	0.002639019	
1.095	0.003227871	
1.096	0.003675476	
1.098	0.003853696	
1.099	0.003640258	
1.1	0.004313552	
1.102	0.003573037	
1.103	0.002771061	
1.104	0.001604193	
1.106	0.0005824949	
1.107	0.0004252668	
1.108	0.001269429	
1.11	0.0005143811	
1.111	0.0003046585	
1.112	-0.0001745081	
1.114	-0.001020472	
1.115	-0.001162051	
1.116	-0.0007663352	
1.118	-0.0018512	
1.119	-0.002086604	
1.12	-0.001883958	
1.122	-0.0008601261	
1.123	-0.000883942	
1.124	-0.0003870718	
1.126	-0.0009492692	
1.127	-0.0004874584	
1.128	-0.0008493562	
1.13	-0.000808107	
1.131	0.0002332719	
1.132	-0.0005193231	
1.134	-0.0005130957	
1.135	0.0001718318	
1.136	0.0005269643	
1.138	0.0005893287	
1.139	0.0006721251	
1.14	0.00125479	
1.142	0.001633891	
1.143	0.001794056	
1.144	0.001533611	
1.146	0.001803134	
1.147	0.001972351	
1.148	0.001153517	
1.15	0.0007722824	
1.151	-0.0002069499	
1.152	-0.0009114348	
1.154	-0.001226576	
1.155	-0.0009668532	
1.156	-0.001374107	
1.158	-0.001786144	
1.159	-0.001491657	
1.16	-0.0006613738	
1.162	-0.001330871	
1.163	-0.001197393	
1.164	-0.0008309357	
1.166	-0.0009967319	
1.167	-0.00157877	
1.168	-0.0006066909	
1.17	-0.0005265801	
1.171	-0.0008773252	
1.172	-0.0002423831	
1.174	-6.372866E-05	
1.175	-0.0004605314	
1.176	-0.0003765562	
1.178	-0.0002111337	
1.179	-0.0005415119	
1.18	-0.0003492966	
1.182	-0.0007477784	
1.183	-0.001216748	
1.184	-0.0008980178	
1.186	-0.0003259704	
1.187	-0.001178229	
1.188	-0.001462385	
1.19	-0.001407769	
1.191	-0.001703677	
1.192	-0.001494279	
1.194	-0.001986092	
1.195	-0.001823484	
1.196	-0.0025538	
1.198	-0.003293884	
1.199	-0.002654355	
1.2	-0.001911282	
1.202	-0.0005402082	
1.203	-0.0002500211	
1.204	-0.0004418908	
1.206	-0.0003204805	
1.207	-0.000303861	
1.208	-0.0007061591	
1.209	-0.0006425545	
1.211	-0.0007354078	
1.212	-0.0009366025	
1.213	-0.001304177	
1.215	-0.00127143	
1.216	-0.001174397	
1.217	-0.0007381153	
1.219	0.0003206024	
1.22	0.001153629	
1.221	0.001647078	
1.223	0.0008789374	
1.224	0.001070156	
1.225	-4.328901E-06	
1.227	-0.001448769	
1.228	-0.001686925	
1.229	-0.001048984	
1.231	-0.001466567	
1.232	-0.001831099	
1.233	-0.002074177	
1.235	-0.002104686	
1.236	-0.002144866	
1.237	-0.00229956	
1.239	-0.002741485	
1.24	-0.004076831	
1.241	-0.003797391	
1.243	-0.003707578	
1.244	-0.004271829	
1.245	-0.004173273	
1.247	-0.003760948	
1.248	-0.002512021	
1.249	-0.002172027	
1.251	-0.002790747	
1.252	-0.003281373	
1.253	-0.002875679	
1.255	-0.003620056	
1.256	-0.003447465	
1.257	-0.00348503	
1.259	-0.0037138	
