Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		Chrom.1 (5)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.118	2.056626	0.117	1.987386	0.118	2.022029	0.118	2.07626	0.118	2.128225	0.118	2.146185	
0.119	2.05691	0.119	1.987721	0.119	2.021007	0.119	2.074799	0.119	2.127814	0.119	2.144757	
0.12	2.05882	0.12	1.988324	0.12	2.019978	0.12	2.074689	0.12	2.127449	0.12	2.143887	
0.122	2.059932	0.121	1.988724	0.122	2.019511	0.122	2.074611	0.122	2.127478	0.122	2.143243	
0.123	2.060973	0.123	1.989076	0.123	2.018757	0.123	2.074077	0.123	2.127911	0.123	2.143587	
0.124	2.062158	0.124	1.989735	0.124	2.018841	0.124	2.073786	0.124	2.128748	0.124	2.143861	
0.126	2.062244	0.125	1.989906	0.126	2.018806	0.126	2.0742	0.126	2.129242	0.126	2.143385	
0.127	2.064012	0.127	1.990789	0.127	2.019202	0.127	2.075379	0.127	2.128705	0.127	2.143274	
0.128	2.065844	0.128	1.992092	0.128	2.019048	0.128	2.074516	0.128	2.128121	0.128	2.143285	
0.13	2.06696	0.129	1.993372	0.13	2.01883	0.13	2.073431	0.13	2.12812	0.13	2.142547	
0.131	2.068217	0.131	1.995173	0.131	2.019223	0.131	2.072989	0.131	2.129269	0.131	2.142854	
0.132	2.06871	0.132	1.997365	0.132	2.019825	0.132	2.073569	0.132	2.130276	0.132	2.142606	
0.134	2.070932	0.133	2.000074	0.134	2.020336	0.134	2.073678	0.134	2.13143	0.134	2.143816	
0.135	2.073109	0.135	2.003108	0.135	2.020737	0.135	2.074347	0.135	2.13361	0.135	2.145096	
0.136	2.075148	0.136	2.006821	0.136	2.021945	0.136	2.075405	0.136	2.134956	0.136	2.146015	
0.138	2.076485	0.137	2.011844	0.138	2.024234	0.138	2.07666	0.138	2.136645	0.138	2.148549	
0.139	2.078493	0.139	2.018445	0.139	2.026779	0.139	2.077986	0.139	2.138776	0.139	2.150742	
0.14	2.080364	0.14	2.025977	0.14	2.030493	0.14	2.07914	0.14	2.141714	0.14	2.154247	
0.142	2.081906	0.141	2.035725	0.142	2.033914	0.142	2.08164	0.142	2.145635	0.142	2.157944	
0.143	2.084371	0.143	2.046247	0.143	2.038283	0.143	2.084362	0.143	2.150489	0.143	2.161717	
0.144	2.086786	0.144	2.056874	0.144	2.043495	0.144	2.088622	0.144	2.155252	0.144	2.165926	
0.146	2.089361	0.145	2.068328	0.146	2.050627	0.146	2.093869	0.146	2.160901	0.146	2.170787	
0.147	2.092046	0.147	2.078184	0.147	2.058783	0.147	2.099458	0.147	2.166911	0.147	2.174439	
0.148	2.094216	0.148	2.088155	0.148	2.067029	0.148	2.105491	0.148	2.171691	0.148	2.178534	
0.15	2.096069	0.149	2.098383	0.15	2.074975	0.15	2.112899	0.15	2.176309	0.15	2.182579	
0.151	2.097775	0.151	2.108688	0.151	2.083408	0.151	2.119974	0.151	2.180159	0.151	2.186794	
0.152	2.099836	0.152	2.11827	0.152	2.092377	0.152	2.126708	0.152	2.183455	0.152	2.190786	
0.154	2.102464	0.153	2.126481	0.154	2.100948	0.154	2.133229	0.154	2.187117	0.154	2.193102	
0.155	2.105495	0.155	2.134515	0.155	2.109355	0.155	2.140109	0.155	2.190211	0.155	2.195485	
0.156	2.107895	0.156	2.14156	0.156	2.117133	0.156	2.145958	0.156	2.19204	0.156	2.199452	
0.158	2.110008	0.157	2.14755	0.158	2.123715	0.158	2.15087	0.158	2.193747	0.158	2.202952	
0.159	2.111809	0.159	2.153414	0.159	2.130221	0.159	2.15532	0.159	2.196691	0.159	2.205155	
0.16	2.113916	0.16	2.158875	0.16	2.137253	0.16	2.159884	0.16	2.199376	0.16	2.207048	
0.161	2.115837	0.161	2.163704	0.162	2.143004	0.162	2.164188	0.162	2.20045	0.162	2.207994	
0.163	2.118053	0.163	2.168865	0.163	2.148127	0.163	2.168694	0.163	2.203159	0.163	2.209934	
0.164	2.120538	0.164	2.173677	0.164	2.153766	0.164	2.172871	0.164	2.205322	0.164	2.211459	
0.165	2.122974	0.165	2.177848	0.166	2.158478	0.166	2.177149	0.166	2.206765	0.166	2.212434	
0.167	2.125909	0.167	2.182276	0.167	2.161442	0.167	2.180251	0.167	2.209013	0.167	2.212355	
0.168	2.128799	0.168	2.185986	0.168	2.164231	0.168	2.182489	0.168	2.211862	0.168	2.212179	
0.169	2.130672	0.169	2.188689	0.17	2.167065	0.17	2.185402	0.169	2.214085	0.17	2.212467	
0.171	2.131676	0.171	2.190959	0.171	2.169877	0.171	2.188332	0.171	2.216059	0.171	2.214552	
0.172	2.13291	0.172	2.193206	0.172	2.17227	0.172	2.191776	0.172	2.218324	0.172	2.216147	
0.173	2.133111	0.173	2.19566	0.173	2.174863	0.174	2.194214	0.173	2.21962	0.174	2.217483	
0.175	2.133176	0.175	2.198452	0.175	2.177692	0.175	2.196607	0.175	2.220627	0.175	2.219247	
0.176	2.133346	0.176	2.201	0.176	2.180833	0.176	2.199343	0.176	2.221203	0.176	2.221195	
0.177	2.134193	0.177	2.203796	0.177	2.184235	0.177	2.202327	0.177	2.222608	0.178	2.22328	
0.179	2.134122	0.179	2.207314	0.179	2.187362	0.179	2.205795	0.179	2.223839	0.179	2.224799	
0.18	2.133878	0.18	2.210828	0.18	2.190453	0.18	2.208847	0.18	2.224681	0.18	2.227142	
0.181	2.134544	0.181	2.213908	0.181	2.194112	0.181	2.211448	0.181	2.226084	0.182	2.228875	
0.183	2.135804	0.183	2.216421	0.183	2.197811	0.183	2.213612	0.183	2.228037	0.183	2.230782	
0.184	2.136343	0.184	2.218716	0.184	2.200821	0.184	2.216822	0.184	2.230057	0.184	2.232457	
0.185	2.137281	0.185	2.220212	0.185	2.20353	0.185	2.220048	0.185	2.231427	0.186	2.234082	
0.187	2.137378	0.187	2.221375	0.187	2.205895	0.187	2.222681	0.187	2.232977	0.187	2.235513	
0.188	2.137282	0.188	2.223185	0.188	2.207586	0.188	2.225156	0.188	2.234663	0.188	2.236521	
0.189	2.137929	0.189	2.225682	0.189	2.209923	0.189	2.227761	0.189	2.235787	0.19	2.237529	
0.191	2.138462	0.191	2.228034	0.191	2.212126	0.191	2.230736	0.191	2.237041	0.191	2.238769	
0.192	2.140182	0.192	2.230325	0.192	2.214251	0.192	2.23306	0.192	2.238405	0.192	2.241746	
0.193	2.141198	0.193	2.232051	0.193	2.216422	0.193	2.234663	0.193	2.239955	0.194	2.24453	
0.195	2.142222	0.195	2.233141	0.195	2.219081	0.195	2.237128	0.195	2.241349	0.195	2.24612	
0.196	2.143542	0.196	2.234379	0.196	2.221256	0.196	2.240485	0.196	2.242489	0.196	2.247693	
0.197	2.144567	0.197	2.235787	0.197	2.223537	0.197	2.243094	0.197	2.243361	0.198	2.248412	
0.199	2.145613	0.199	2.236653	0.199	2.225693	0.199	2.245131	0.199	2.244533	0.199	2.249743	
0.2	2.146079	0.2	2.237956	0.2	2.227538	0.2	2.247934	0.2	2.245825	0.2	2.25098	
0.201	2.145872	0.201	2.239973	0.201	2.229544	0.201	2.250733	0.201	2.246505	0.202	2.251453	
0.203	2.145446	0.203	2.241935	0.203	2.231097	0.203	2.253221	0.203	2.24778	0.203	2.252234	
0.204	2.145437	0.204	2.24323	0.204	2.23251	0.204	2.255197	0.204	2.249583	0.204	2.253535	
0.205	2.145997	0.205	2.243961	0.205	2.234386	0.205	2.257756	0.205	2.251322	0.206	2.254708	
0.207	2.146377	0.207	2.2447	0.207	2.23539	0.207	2.261063	0.207	2.253137	0.207	2.255764	
0.208	2.146375	0.208	2.244076	0.208	2.236852	0.208	2.264449	0.208	2.254206	0.208	2.256935	
0.209	2.145969	0.209	2.243638	0.209	2.237767	0.209	2.267531	0.209	2.254266	0.21	2.258015	
0.211	2.145377	0.211	2.244676	0.211	2.239015	0.211	2.270279	0.211	2.254508	0.211	2.258301	
0.212	2.144704	0.212	2.2461	0.212	2.240636	0.212	2.272268	0.212	2.254857	0.212	2.257979	
0.213	2.144215	0.213	2.247141	0.213	2.242488	0.213	2.274222	0.213	2.254761	0.213	2.258422	
0.215	2.143747	0.215	2.247598	0.215	2.244015	0.215	2.276787	0.215	2.255206	0.215	2.259548	
0.216	2.143473	0.216	2.247666	0.216	2.245369	0.216	2.279458	0.216	2.255982	0.216	2.260398	
0.217	2.14401	0.217	2.247365	0.217	2.246662	0.217	2.282472	0.217	2.256497	0.217	2.26096	
0.219	2.144482	0.218	2.247241	0.219	2.248173	0.219	2.285788	0.219	2.257329	0.219	2.261645	
0.22	2.145018	0.22	2.24761	0.22	2.250086	0.22	2.289187	0.22	2.258252	0.22	2.261955	
0.221	2.145103	0.221	2.247831	0.221	2.251227	0.221	2.291961	0.221	2.259186	0.221	2.262349	
0.223	2.145316	0.222	2.247888	0.223	2.252601	0.223	2.295001	0.223	2.260459	0.223	2.262477	
0.224	2.145693	0.224	2.248176	0.224	2.254532	0.224	2.299365	0.224	2.261694	0.224	2.263047	
0.225	2.146631	0.225	2.248346	0.225	2.256355	0.225	2.303216	0.225	2.26239	0.225	2.263606	
0.227	2.147317	0.226	2.24835	0.227	2.257442	0.227	2.306298	0.227	2.262286	0.227	2.263824	
0.228	2.147645	0.228	2.248776	0.228	2.258332	0.228	2.308939	0.228	2.263224	0.228	2.264635	
0.229	2.147847	0.229	2.248934	0.229	2.25954	0.229	2.311702	0.229	2.264193	0.229	2.264532	
0.231	2.148358	0.23	2.249398	0.231	2.260534	0.231	2.315207	0.231	2.264824	0.231	2.264404	
0.232	2.148984	0.232	2.250398	0.232	2.262388	0.232	2.318659	0.232	2.26591	0.232	2.264875	
0.233	2.149042	0.233	2.251523	0.233	2.265243	0.233	2.322382	0.233	2.266103	0.233	2.26599	
0.235	2.149271	0.234	2.252454	0.235	2.268011	0.235	2.32597	0.235	2.265501	0.235	2.266889	
0.236	2.15069	0.236	2.254301	0.236	2.270405	0.236	2.329274	0.236	2.265604	0.236	2.267973	
0.237	2.152251	0.237	2.256464	0.237	2.272791	0.237	2.332749	0.237	2.266711	0.237	2.268744	
0.239	2.153217	0.238	2.257986	0.239	2.275408	0.239	2.336177	0.239	2.266984	0.239	2.268358	
0.24	2.154119	0.24	2.259689	0.24	2.278211	0.24	2.339345	0.24	2.267256	0.24	2.268557	
0.241	2.154819	0.241	2.261056	0.241	2.280772	0.241	2.342611	0.241	2.267688	0.241	2.268334	
