Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.08	-0.08920548	0.08	-0.3921805	0.08	-0.1763617	0.08	-0.1585804	0.08	-0.1277509	0.08	-0.1183717	
0.082	-0.09068285	0.082	-0.3928127	0.082	-0.1769328	0.082	-0.1595432	0.082	-0.1290648	0.082	-0.1187612	
0.083	-0.0927185	0.083	-0.39399	0.083	-0.1774847	0.083	-0.1620259	0.083	-0.1299986	0.083	-0.1195317	
0.084	-0.09443276	0.084	-0.3951304	0.084	-0.1785825	0.084	-0.1640477	0.084	-0.1316641	0.084	-0.1209075	
0.086	-0.09613118	0.086	-0.3952662	0.086	-0.1795721	0.086	-0.1655428	0.086	-0.1335959	0.086	-0.1225514	
0.087	-0.097676	0.087	-0.3947815	0.087	-0.1807176	0.087	-0.1670864	0.087	-0.1355728	0.087	-0.1234694	
0.088	-0.09933671	0.088	-0.3955286	0.088	-0.1814075	0.088	-0.1677991	0.088	-0.1375065	0.088	-0.1243253	
0.09	-0.1001861	0.09	-0.3949123	0.09	-0.1826846	0.09	-0.1697727	0.09	-0.1389116	0.09	-0.1253792	
0.091	-0.1013426	0.091	-0.393992	0.091	-0.1839716	0.091	-0.1697189	0.091	-0.1406281	0.091	-0.1266868	
0.092	-0.1026668	0.092	-0.3941614	0.092	-0.1848574	0.092	-0.1701772	0.092	-0.1427784	0.092	-0.1282947	
0.094	-0.1044648	0.094	-0.3931179	0.094	-0.1857548	0.094	-0.1708428	0.094	-0.1444656	0.094	-0.1303835	
0.095	-0.105225	0.095	-0.3922508	0.095	-0.1869583	0.095	-0.1720217	0.095	-0.1461405	0.095	-0.1323108	
0.096	-0.1064989	0.096	-0.390474	0.096	-0.1887139	0.096	-0.1735196	0.096	-0.1470337	0.096	-0.1335858	
0.098	-0.1073993	0.098	-0.3885787	0.098	-0.1898592	0.098	-0.1745419	0.098	-0.1486078	0.098	-0.1346837	
0.099	-0.1087673	0.099	-0.3869484	0.099	-0.1912698	0.099	-0.1758032	0.099	-0.1507389	0.099	-0.1354174	
0.1	-0.109716	0.1	-0.3848588	0.1	-0.1927401	0.1	-0.1765778	0.1	-0.152559	0.1	-0.1366904	
0.102	-0.1109216	0.102	-0.3834149	0.102	-0.1943994	0.102	-0.1782705	0.102	-0.1528512	0.102	-0.1383336	
0.103	-0.1120988	0.103	-0.3815101	0.103	-0.1948041	0.103	-0.1796087	0.103	-0.1543006	0.103	-0.1396061	
0.104	-0.113216	0.104	-0.3793339	0.104	-0.1959821	0.104	-0.1800689	0.104	-0.1559327	0.104	-0.1402409	
0.106	-0.1138879	0.106	-0.378138	0.106	-0.1971233	0.106	-0.1813203	0.106	-0.1566299	0.106	-0.1420625	
0.107	-0.1148963	0.107	-0.3747863	0.107	-0.1987076	0.107	-0.1832782	0.107	-0.1569492	0.107	-0.1438758	
0.108	-0.1157909	0.108	-0.3719645	0.108	-0.199589	0.108	-0.1841689	0.108	-0.1580772	0.108	-0.144452	
0.11	-0.1169682	0.11	-0.3697154	0.11	-0.2000353	0.11	-0.1850533	0.11	-0.1591301	0.11	-0.1442916	
0.111	-0.1190517	0.111	-0.367336	0.111	-0.2005668	0.111	-0.1856414	0.111	-0.1596421	0.111	-0.1451112	
0.112	-0.1201272	0.112	-0.3647004	0.112	-0.2012241	0.112	-0.1864616	0.112	-0.1595131	0.112	-0.1458073	
0.114	-0.1203091	0.114	-0.3610995	0.114	-0.2009315	0.114	-0.1870944	0.114	-0.1589387	0.114	-0.1466355	
