Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
10.617	0.09528442	10.617	5.538564	10.617	2.300429	10.617	0.5171295	10.617	1.310485	10.617	0.1243162	
10.618	0.09573112	10.618	5.519164	10.618	2.297293	10.618	0.5178644	10.618	1.308149	10.618	0.1250752	
10.62	0.09497544	10.62	5.498936	10.62	2.292664	10.62	0.5184964	10.62	1.30633	10.62	0.1257443	
10.621	0.09546206	10.621	5.478776	10.621	2.287272	10.621	0.5193349	10.621	1.304701	10.621	0.126013	
10.622	0.09626897	10.622	5.458892	10.622	2.282083	10.622	0.5188431	10.622	1.303966	10.622	0.1269699	
10.624	0.09673394	10.624	5.438815	10.624	2.277247	10.624	0.5189989	10.624	1.303259	10.624	0.1274537	
10.625	0.09821239	10.625	5.419489	10.625	2.271045	10.625	0.5192003	10.625	1.3025	10.625	0.1267486	
10.626	0.09833629	10.626	5.399596	10.626	2.265066	10.626	0.5188294	10.626	1.300859	10.626	0.1261905	
10.628	0.09854863	10.628	5.37999	10.628	2.260185	10.627	0.5193237	10.628	1.29925	10.628	0.12685	
10.629	0.09767928	10.629	5.359795	10.629	2.256181	10.629	0.5201065	10.629	1.297726	10.629	0.1260882	
10.63	0.09773805	10.63	5.340436	10.63	2.251407	10.63	0.5201362	10.63	1.296182	10.63	0.126034	
10.632	0.0982138	10.632	5.320685	10.632	2.247228	10.631	0.520717	10.632	1.295236	10.632	0.1270173	
10.633	0.09944821	10.633	5.301236	10.633	2.24269	10.633	0.5206192	10.633	1.294539	10.633	0.1270637	
10.634	0.09999385	10.634	5.281814	10.634	2.238103	10.634	0.5204907	10.634	1.293008	10.634	0.1262973	
10.636	0.1000338	10.636	5.261554	10.636	2.23231	10.635	0.5218354	10.636	1.292044	10.636	0.1268156	
10.637	0.1006638	10.637	5.242422	10.637	2.227183	10.637	0.5211384	10.637	1.290383	10.637	0.1270351	
10.638	0.1005263	10.638	5.223669	10.638	2.220833	10.638	0.5199279	10.638	1.288054	10.638	0.1279431	
10.64	0.101611	10.64	5.204843	10.64	2.215721	10.639	0.5202593	10.64	1.285658	10.64	0.1284983	
10.641	0.1007971	10.641	5.185471	10.641	2.211534	10.641	0.5209014	10.641	1.284489	10.641	0.1282763	
10.642	0.1008673	10.642	5.166427	10.642	2.20696	10.642	0.5205595	10.642	1.283892	10.642	0.1288445	
10.644	0.1007366	10.644	5.147196	10.644	2.202004	10.643	0.5212659	10.644	1.28305	10.644	0.1293974	
10.645	0.100316	10.645	5.128019	10.645	2.197116	10.645	0.5221764	10.645	1.281342	10.645	0.1300714	
10.646	0.09956421	10.646	5.108858	10.646	2.191988	10.646	0.5225267	10.646	1.279162	10.646	0.1303884	
10.648	0.0995592	10.648	5.091312	10.648	2.187285	10.647	0.5232704	10.648	1.277462	10.648	0.1298302	
10.649	0.09923361	10.649	5.075809	10.649	2.18301	10.649	0.5220228	10.649	1.276269	10.649	0.1294328	
10.65	0.09944965	10.65	5.057312	10.65	2.177511	10.65	0.5212148	10.65	1.27455	10.65	0.1297124	
10.652	0.0991198	10.652	5.040052	10.652	2.172309	10.651	0.5207267	10.652	1.273135	10.652	0.1305805	
10.653	0.09907114	10.653	5.02241	10.653	2.167407	10.653	0.521273	10.653	1.27122	10.653	0.1310488	
10.654	0.09875894	10.654	5.003563	10.654	2.162408	10.654	0.5213699	10.654	1.270022	10.654	0.1317423	
10.656	0.09945286	10.656	4.984446	10.655	2.157695	10.655	0.5210164	10.656	1.268036	10.656	0.131476	
10.657	0.09900694	10.657	4.966744	10.657	2.15305	10.657	0.5208992	10.657	1.266881	10.657	0.1328245	
10.658	0.09758102	10.658	4.948423	10.658	2.148222	10.658	0.5213534	10.658	1.264426	10.658	0.1326882	
10.66	0.09636644	10.66	4.930243	10.659	2.144252	10.659	0.520925	10.66	1.262648	10.66	0.1335968	
10.661	0.0957111	10.661	4.911895	10.661	2.139179	10.661	0.5209249	10.661	1.260323	10.661	0.1340887	
10.662	0.09614943	10.662	4.894606	10.662	2.133108	10.662	0.5212551	10.662	1.25784	10.662	0.1349425	
10.664	0.09675424	10.663	4.877981	10.663	2.12822	10.663	0.5214744	10.664	1.256567	10.664	0.1361184	
10.665	0.09807219	10.665	4.860776	10.665	2.122847	10.665	0.5215964	10.665	1.252813	10.665	0.1355759	
10.666	0.09916671	10.666	4.84378	10.666	2.117686	10.666	0.5223476	10.666	1.250477	10.666	0.1362318	
10.668	0.09991515	10.667	4.826159	10.667	2.112047	10.667	0.5218045	10.668	1.250099	10.668	0.1359133	
10.669	0.1008181	10.669	4.808328	10.669	2.106653	10.669	0.5224274	10.669	1.248101	10.669	0.136615	
10.67	0.1000337	10.67	4.790486	10.67	2.102064	10.67	0.5224884	10.67	1.247029	10.67	0.1367849	
10.672	0.1002084	10.671	4.774056	10.671	2.097509	10.671	0.5231269	10.672	1.245264	10.672	0.136763	
10.673	0.09976823	10.673	4.756867	10.673	2.093128	10.673	0.5241126	10.673	1.24281	10.673	0.1370031	
10.674	0.1005145	10.674	4.740198	10.674	2.088145	10.674	0.5245278	10.674	1.241504	10.674	0.1368829	
10.676	0.1008752	10.675	4.72267	10.675	2.083887	10.675	0.5252593	10.676	1.240619	10.676	0.1378868	
10.677	0.1005905	10.677	4.705459	10.677	2.078911	10.677	0.5244583	10.677	1.238693	10.677	0.1386777	
10.678	0.1012952	10.678	4.6889	10.678	2.074057	10.678	0.5247614	10.678	1.236147	10.678	0.1388423	
10.68	0.1009809	10.679	4.670837	10.679	2.068455	10.679	0.5247288	10.68	1.234316	10.68	0.1387123	
10.681	0.1003819	10.681	4.653399	10.681	2.063138	10.681	0.5250463	10.681	1.23348	10.681	0.1393836	
10.682	0.1014755	10.682	4.637308	10.682	2.059225	10.682	0.5255309	10.682	1.231763	10.682	0.1388063	
10.684	0.1015522	10.683	4.620116	10.683	2.054039	10.683	0.5263267	10.684	1.230181	10.684	0.138983	
10.685	0.1013792	10.685	4.602312	10.685	2.048173	10.685	0.5255215	10.685	1.229199	10.685	0.1385488	
10.686	0.1020069	10.686	4.584659	10.686	2.042732	10.686	0.5253417	10.686	1.227541	10.686	0.1390284	
10.688	0.1023111	10.687	4.568439	10.687	2.037504	10.687	0.5246539	10.688	1.22562	10.688	0.1395634	
10.689	0.1015429	10.689	4.552276	10.689	2.031868	10.689	0.5244229	10.689	1.223147	10.689	0.1403583	
10.69	0.1009983	10.69	4.535027	10.69	2.02639	10.69	0.5241945	10.69	1.220393	10.69	0.1408735	
10.692	0.1008394	10.691	4.518791	10.691	2.022173	10.691	0.5241781	10.692	1.217911	10.692	0.141444	
10.693	0.1000109	10.693	4.502718	10.693	2.018469	10.693	0.5235463	10.693	1.216313	10.693	0.1427507	
10.694	0.1008119	10.694	4.486643	10.694	2.013856	10.694	0.52417	10.694	1.214661	10.694	0.1423737	
10.696	0.1017076	10.695	4.47048	10.695	2.007623	10.695	0.5225124	10.696	1.212292	10.696	0.142854	
10.697	0.1015346	10.697	4.454741	10.697	2.002174	10.697	0.5219454	10.697	1.208927	10.697	0.1430732	
10.698	0.1022741	10.698	4.439322	10.698	1.996573	10.698	0.5210416	10.698	1.206802	10.698	0.1435466	
10.7	0.1022921	10.699	4.424145	10.699	1.991194	10.699	0.5206417	10.7	1.204884	10.7	0.1438608	
10.701	0.102651	10.701	4.4087	10.701	1.98592	10.701	0.5204133	10.701	1.203136	10.701	0.1442644	
10.702	0.1036907	10.702	4.395439	10.702	1.982378	10.702	0.5196083	10.702	1.20063	10.702	0.1443203	
10.704	0.1022209	10.703	4.380684	10.703	1.976206	10.703	0.5199508	10.704	1.197871	10.704	0.1443649	
10.705	0.1031054	10.705	4.364109	10.705	1.971227	10.705	0.5208899	10.705	1.195993	10.705	0.1437065	
10.706	0.1030951	10.706	4.348106	10.706	1.966284	10.706	0.519703	10.706	1.194386	10.706	0.1438071	
10.707	0.104355	10.707	4.33357	10.707	1.960672	10.707	0.5192676	10.708	1.192148	10.707	0.1449331	
10.709	0.1048553	10.709	4.318778	10.709	1.95487	10.709	0.5199345	10.709	1.19049	10.709	0.1450992	
10.71	0.1054778	10.71	4.305012	10.71	1.949422	10.71	0.5195332	10.71	1.188498	10.71	0.1455352	
10.711	0.1057258	10.711	4.289233	10.711	1.943259	10.711	0.51902	10.711	1.187127	10.711	0.145726	
10.713	0.1063923	10.713	4.274189	10.713	1.939778	10.713	0.5190179	10.713	1.184783	10.713	0.1462795	
10.714	0.1066671	10.714	4.259099	10.714	1.935519	10.714	0.5188895	10.714	1.18229	10.714	0.1466551	
10.715	0.1070266	10.715	4.244777	10.715	1.930863	10.715	0.5190071	10.715	1.180658	10.715	0.1469215	
10.717	0.1083474	10.717	4.229822	10.717	1.927199	10.717	0.5190184	10.717	1.178544	10.717	0.147285	
10.718	0.1092014	10.718	4.213907	10.718	1.922072	10.718	0.5192434	10.718	1.176809	10.718	0.1477338	
10.719	0.1101929	10.719	4.198879	10.719	1.917462	10.719	0.5184864	10.719	1.174586	10.719	0.147597	
10.721	0.1106566	10.721	4.184055	10.721	1.912307	10.721	0.5193674	10.721	1.173708	10.721	0.147276	
10.722	0.1100339	10.722	4.169665	10.722	1.907262	10.722	0.5194203	10.722	1.171657	10.722	0.1480565	
10.723	0.1106944	10.723	4.155974	10.723	1.902001	10.723	0.5191061	10.723	1.168679	10.723	0.1476164	
10.725	0.1109789	10.725	4.141197	10.725	1.896553	10.725	0.5190426	10.725	1.167376	10.725	0.1486506	
10.726	0.1121684	10.726	4.127476	10.726	1.891389	10.726	0.5193084	10.726	1.164954	10.726	0.1483031	
10.727	0.1127769	10.727	4.113684	10.727	1.886515	10.727	0.5196738	10.727	1.162543	10.727	0.147969	
10.729	0.1134391	10.729	4.099914	10.729	1.882204	10.729	0.5180896	10.729	1.161101	10.729	0.1480682	
10.73	0.1137875	10.73	4.084454	10.73	1.877192	10.73	0.5171673	10.73	1.158996	10.73	0.1482475	
10.731	0.1134244	10.731	4.07041	10.731	1.872855	10.731	0.517029	10.731	1.157288	10.731	0.1480704	
10.733	0.113356	10.733	4.056419	10.733	1.8683	10.733	0.5167299	10.733	1.155594	10.733	0.1476723	
10.734	0.1137465	10.734	4.042274	10.734	1.863272	10.734	0.5161895	10.734	1.15339	10.734	0.1481162	
10.735	0.1127655	10.735	4.028209	10.735	1.858838	10.735	0.5152137	10.735	1.151454	10.735	0.1485061	
10.737	0.1133751	10.737	4.014262	10.737	1.853301	10.737	0.5151324	10.737	1.149634	10.737	0.1487883	
10.738	0.113763	10.738	3.999473	10.738	1.847817	10.738	0.5141355	10.738	1.147728	10.738	0.1485241	
10.739	0.1139079	10.739	3.985663	10.739	1.842575	10.739	0.5134995	10.739	1.145101	10.739	0.1482708	
10.741	0.1143865	10.741	3.971834	10.741	1.837104	10.741	0.5131032	10.741	1.142698	10.741	0.148561	
10.742	0.1151896	10.742	3.958839	10.742	1.831635	10.742	0.5126277	10.742	1.139834	10.742	0.1494497	
10.743	0.1161387	10.743	3.944591	10.743	1.827804	10.743	0.5131645	10.743	1.136965	10.743	0.1490903	
10.745	0.1157691	10.745	3.930257	10.745	1.824875	10.745	0.5123399	10.745	1.134351	10.745	0.1482466	
10.746	0.1153936	10.746	3.915786	10.746	1.821122	10.746	0.5127761	10.746	1.131643	10.746	0.1491529	
10.747	0.1151302	10.747	3.902679	10.747	1.816715	10.747	0.5134089	10.747	1.128942	10.747	0.1488833	
10.749	0.1146914	10.749	3.88871	10.749	1.811714	10.749	0.5130882	10.749	1.126924	10.749	0.1489938	
10.75	0.1149468	10.75	3.875045	10.75	1.807153	10.75	0.5126181	10.75	1.125185	10.75	0.1495179	
10.751	0.1147834	10.751	3.86273	10.751	1.802392	10.751	0.5133651	10.751	1.122493	10.751	0.1500727	
10.753	0.1149409	10.753	3.850774	10.753	1.79853	10.753	0.5136868	10.753	1.119818	10.753	0.149972	
10.754	0.114689	10.754	3.837706	10.754	1.794861	10.754	0.5134174	10.754	1.117395	10.754	0.1497745	
10.755	0.1151703	10.755	3.825667	10.755	1.789857	10.755	0.5136648	10.755	1.115269	10.755	0.1492802	
10.757	0.1157862	10.757	3.813503	10.757	1.785715	10.757	0.5136667	10.757	1.112745	10.757	0.1486178	
10.758	0.1149757	10.758	3.80079	10.758	1.780868	10.758	0.5135782	10.758	1.111024	10.758	0.1485475	
10.759	0.1155999	10.759	3.788851	10.759	1.775791	10.759	0.5139478	10.759	1.108776	10.759	0.1489086	
10.761	0.1159198	10.761	3.776118	10.761	1.770931	10.761	0.5134782	10.761	1.106053	10.761	0.1501617	
10.762	0.1158171	10.762	3.763365	10.762	1.76672	10.762	0.514908	10.762	1.104383	10.762	0.1506046	
10.763	0.1164289	10.763	3.75083	10.763	1.763282	10.763	0.515603	10.763	1.103233	10.763	0.1510214	
10.765	0.1165156	10.765	3.739506	10.765	1.758865	10.765	0.5161082	10.765	1.101291	10.765	0.1503125	
10.766	0.1169043	10.766	3.726871	10.766	1.753871	10.766	0.5167552	10.766	1.098832	10.766	0.1496318	
10.767	0.1167092	10.767	3.71413	10.767	1.74907	10.767	0.5172529	10.767	1.096841	10.767	0.1495031	
10.769	0.1169187	10.769	3.702519	10.769	1.743605	10.768	0.5163442	10.769	1.095135	10.769	0.1501689	
10.77	0.1182335	10.77	3.688972	10.77	1.739198	10.77	0.5170872	10.77	1.0932	10.77	0.1513114	
10.771	0.1183549	10.771	3.677263	10.771	1.735342	10.771	0.5159385	10.771	1.091031	10.771	0.1523449	
10.773	0.1176211	10.773	3.664771	10.773	1.730476	10.772	0.5154744	10.773	1.088452	10.773	0.1525763	
10.774	0.1169697	10.774	3.651706	10.774	1.726358	10.774	0.515668	10.774	1.086479	10.774	0.1523508	
10.775	0.1162789	10.775	3.639653	10.775	1.722578	10.775	0.5150603	10.775	1.083641	10.775	0.1526892	
10.777	0.1155377	10.777	3.626899	10.777	1.719215	10.776	0.515245	10.777	1.081895	10.777	0.1525783	
10.778	0.1166791	10.778	3.615728	10.778	1.71568	10.778	0.5148385	10.778	1.0794	10.778	0.1531218	
10.779	0.1170913	10.779	3.604187	10.779	1.711187	10.779	0.5141969	10.779	1.078272	10.779	0.1535875	
10.781	0.1180143	10.781	3.592369	10.781	1.706141	10.78	0.5133672	10.781	1.077266	10.781	0.1540088	
10.782	0.1179264	10.782	3.579504	10.782	1.701138	10.782	0.513026	10.782	1.074331	10.782	0.1539559	
10.783	0.1172647	10.783	3.568759	10.783	1.696216	10.783	0.5133026	10.783	1.072088	10.783	0.154878	
10.785	0.1172371	10.785	3.557856	10.785	1.692496	10.784	0.5130259	10.785	1.070386	10.785	0.1550357	
10.786	0.1167315	10.786	3.545958	10.786	1.688127	10.786	0.5124645	10.786	1.068364	10.786	0.1554587	
10.787	0.1163755	10.787	3.534456	10.787	1.683975	10.787	0.5118944	10.787	1.065939	10.787	0.1563283	
10.789	0.1172993	10.789	3.522799	10.789	1.679283	10.788	0.5113916	10.789	1.063949	10.789	0.1561872	
10.79	0.1174416	10.79	3.511163	10.79	1.674803	10.79	0.5117239	10.79	1.06198	10.79	0.1567136	
10.791	0.1182088	10.791	3.500325	10.791	1.67077	10.791	0.5119622	10.791	1.059835	10.791	0.1561228	
10.793	0.1181726	10.793	3.488771	10.793	1.666764	10.792	0.5117923	10.793	1.057596	10.793	0.1566332	
10.794	0.1180194	10.794	3.47671	10.794	1.661914	10.794	0.5110496	10.794	1.056114	10.794	0.1570071	
10.795	0.1177615	10.795	3.464932	10.795	1.65764	10.795	0.5115214	10.795	1.054447	10.795	0.1568709	
10.797	0.1175816	10.797	3.454626	10.796	1.652797	10.796	0.5124375	10.797	1.052649	10.797	0.1566463	
10.798	0.1176009	10.798	3.444524	10.798	1.647977	10.798	0.5120526	10.798	1.051198	10.798	0.1570316	
10.799	0.1178716	10.799	3.433446	10.799	1.642698	10.799	0.5116824	10.799	1.049826	10.799	0.1572408	
10.801	0.1178124	10.801	3.422604	10.8	1.638303	10.8	0.5112468	10.801	1.048144	10.801	0.157811	
10.802	0.118287	10.802	3.412187	10.802	1.63342	10.802	0.5112729	10.802	1.046234	10.802	0.158044	
10.803	0.1182849	10.803	3.400784	10.803	1.629402	10.803	0.5110349	10.803	1.043828	10.803	0.1581812	
10.805	0.1181763	10.804	3.390125	10.804	1.624714	10.804	0.5100871	10.805	1.041277	10.805	0.1588064	
10.806	0.1181527	10.806	3.378706	10.806	1.619704	10.806	0.5092714	10.806	1.039564	10.806	0.1600171	
10.807	0.1170516	10.807	3.367498	10.807	1.61548	10.807	0.5094947	10.807	1.038233	10.807	0.1600399	
10.809	0.1172707	10.808	3.357554	10.808	1.610569	10.808	0.5090112	10.809	1.036318	10.809	0.1592648	
10.81	0.1173614	10.81	3.347678	10.81	1.605387	10.81	0.5078585	10.81	1.03476	10.81	0.1592504	
10.811	0.1174136	10.811	3.337764	10.811	1.59972	10.811	0.507507	10.811	1.033128	10.811	0.1595939	
10.813	0.1175561	10.812	3.328728	10.812	1.594672	10.812	0.5070412	10.813	1.032511	10.813	0.1601409	
10.814	0.1182123	10.814	3.318611	10.814	1.589468	10.814	0.5063692	10.814	1.031745	10.814	0.1610375	
10.815	0.1184223	10.815	3.307933	10.815	1.586	10.815	0.5066618	10.815	1.029433	10.815	0.1615909	
10.817	0.1179444	10.816	3.298174	10.816	1.581027	10.816	0.5066529	10.817	1.027066	10.817	0.1625387	
10.818	0.1186032	10.818	3.287925	10.818	1.57691	10.818	0.50585	10.818	1.025221	10.818	0.1631435	
10.819	0.1194708	10.819	3.277572	10.819	1.572156	10.819	0.5048339	10.819	1.023333	10.819	0.1631951	
10.821	0.1198431	10.82	3.267542	10.82	1.567298	10.82	0.5054389	10.821	1.021384	10.821	0.1629785	
10.822	0.1198383	10.822	3.258047	10.822	1.562868	10.822	0.5051507	10.822	1.019284	10.822	0.1630324	
10.823	0.1196044	10.823	3.248816	10.823	1.55821	10.823	0.5047705	10.823	1.017483	10.823	0.1636387	
10.825	0.1197403	10.824	3.238602	10.824	1.553838	10.824	0.5041459	10.825	1.015541	10.825	0.1641442	
10.826	0.1204476	10.826	3.228065	10.826	1.549544	10.826	0.5041047	10.826	1.013415	10.826	0.1642739	
10.827	0.1207436	10.827	3.21782	10.827	1.544938	10.827	0.5034271	10.827	1.011919	10.827	0.1643727	
10.829	0.1205606	10.828	3.208604	10.828	1.540176	10.828	0.5028213	10.829	1.009627	10.829	0.1653315	
10.83	0.1202779	10.83	3.198928	10.83	1.534846	10.83	0.5026152	10.83	1.007463	10.83	0.1659933	
10.831	0.1199562	10.831	3.188299	10.831	1.53031	10.831	0.5017881	10.831	1.005679	10.831	0.1665026	
10.833	0.1193889	10.832	3.178039	10.832	1.526703	10.832	0.5004861	10.833	1.003692	10.833	0.1673783	
10.834	0.1198687	10.834	3.168413	10.834	1.523052	10.834	0.4998933	10.834	1.002002	10.834	0.1679148	
10.835	0.120118	10.835	3.157974	10.835	1.519104	10.835	0.5008202	10.835	1.000048	10.835	0.1684071	
10.837	0.1207232	10.836	3.149209	10.836	1.514946	10.836	0.499945	10.837	0.9983475	10.837	0.1673599	
10.838	0.1206619	10.838	3.139015	10.838	1.510363	10.838	0.4983519	10.838	0.9969916	10.838	0.1666772	
10.839	0.1213828	10.839	3.130399	10.839	1.506808	10.839	0.4981033	10.839	0.9954923	10.839	0.1663986	
10.841	0.1218246	10.84	3.121855	10.84	1.502851	10.84	0.4975013	10.841	0.9936008	10.841	0.1669569	
10.842	0.1226252	10.842	3.111783	10.842	1.498326	10.842	0.4966528	10.842	0.9922829	10.842	0.1673831	
10.843	0.1239767	10.843	3.102279	10.843	1.493488	10.843	0.4961716	10.843	0.9904416	10.843	0.1683137	
10.845	0.1244108	10.844	3.09223	10.844	1.489039	10.844	0.4959271	10.845	0.9886103	10.845	0.1684985	
10.846	0.1247576	10.846	3.082735	10.846	1.48482	10.846	0.4954173	10.846	0.9864455	10.846	0.1683585	
10.847	0.1238838	10.847	3.07405	10.847	1.48066	10.847	0.4949782	10.847	0.9841048	10.847	0.1684042	
10.848	0.1235153	10.848	3.065471	10.848	1.476186	10.848	0.4945251	10.849	0.9824802	10.849	0.1683037	
10.85	0.1239894	10.85	3.056005	10.85	1.471827	10.85	0.4930041	10.85	0.9807099	10.85	0.1671368	
10.851	0.1248519	10.851	3.046544	10.851	1.467353	10.851	0.4920652	10.851	0.9786002	10.851	0.1667035	
10.852	0.1249561	10.852	3.037279	10.852	1.46269	10.852	0.4923657	10.852	0.9764928	10.852	0.1668395	
10.854	0.1253361	10.854	3.029557	10.854	1.45775	10.854	0.4918267	10.854	0.974	10.854	0.1663954	
10.855	0.1257369	10.855	3.020667	10.855	1.453604	10.855	0.4910233	10.855	0.9723893	10.855	0.1659989	
10.856	0.1252399	10.856	3.011411	10.856	1.449452	10.856	0.4902052	10.856	0.9708388	10.856	0.1659758	
10.858	0.1248964	10.858	3.002903	10.858	1.445081	10.858	0.4895987	10.858	0.9689828	10.858	0.16604	
10.859	0.1240835	10.859	2.994829	10.859	1.440434	10.859	0.4890764	10.859	0.9672005	10.859	0.1657471	
10.86	0.123762	10.86	2.986212	10.86	1.43725	10.86	0.4881068	10.86	0.964764	10.86	0.1655896	
10.862	0.1236849	10.862	2.978993	10.862	1.434015	10.862	0.4869008	10.862	0.9620916	10.862	0.1663071	
10.863	0.1239257	10.863	2.971422	10.863	1.4309	10.863	0.4854588	10.863	0.9595097	10.863	0.166567	
10.864	0.123898	10.864	2.962687	10.864	1.426697	10.864	0.4846586	10.864	0.9574633	10.864	0.1667196	
10.866	0.1241302	10.866	2.954046	10.866	1.422853	10.866	0.4830906	10.866	0.9552332	10.866	0.1664217	
10.867	0.1245348	10.867	2.945218	10.867	1.419509	10.867	0.4822847	10.867	0.9532176	10.867	0.1661376	
10.868	0.1250387	10.868	2.936176	10.868	1.415776	10.868	0.4820828	10.868	0.9515585	10.868	0.1663593	
10.87	0.1256174	10.87	2.928636	10.87	1.412181	10.87	0.4812594	10.87	0.949246	10.87	0.1666257	
10.871	0.1255274	10.871	2.920975	10.871	1.409495	10.871	0.4815042	10.871	0.9471201	10.871	0.1665524	
10.872	0.1256737	10.872	2.913239	10.872	1.406995	10.872	0.4820076	10.872	0.9453191	10.872	0.1656526	
10.874	0.1257662	10.874	2.90559	10.874	1.403807	10.874	0.4813401	10.874	0.9429111	10.874	0.1660685	
10.875	0.1251815	10.875	2.897042	10.875	1.4007	10.875	0.4806933	10.875	0.9408844	10.875	0.1669602	
10.876	0.1246148	10.876	2.889217	10.876	1.397289	10.876	0.4799727	10.876	0.9390258	10.876	0.1671178	
10.878	0.1250916	10.878	2.88127	10.878	1.393731	10.878	0.4801778	10.878	0.9375113	10.878	0.1673845	
10.879	0.1263185	10.879	2.872814	10.879	1.390491	10.879	0.4799951	10.879	0.9348143	10.879	0.1668307	
10.88	0.1265791	10.88	2.865181	10.88	1.387328	10.88	0.4794177	10.88	0.9317545	10.88	0.1658175	
10.882	0.1271269	10.882	2.857738	10.882	1.383439	10.882	0.478146	10.882	0.9304411	10.882	0.1656194	
10.883	0.1280472	10.883	2.849957	10.883	1.379822	10.883	0.4770995	10.883	0.9285139	10.883	0.1657981	
10.884	0.1281359	10.884	2.842416	10.884	1.376824	10.884	0.4767983	10.884	0.926048	10.884	0.1661178	
10.886	0.1281525	10.886	2.835311	10.886	1.373359	10.886	0.4768974	10.886	0.9239936	10.886	0.1658746	
10.887	0.128618	10.887	2.828271	10.887	1.369615	10.887	0.4765372	10.887	0.9221998	10.887	0.1663516	
10.888	0.1292439	10.888	2.820065	10.888	1.365874	10.888	0.4760611	10.888	0.9210044	10.888	0.1673454	
10.89	0.1295868	10.89	2.812154	10.89	1.362159	10.89	0.4756681	10.89	0.9200503	10.89	0.1681305	
10.891	0.1298808	10.891	2.804759	10.891	1.358616	10.891	0.4754219	10.891	0.9189097	10.891	0.1684461	
10.892	0.1297376	10.892	2.797495	10.892	1.354679	10.892	0.4753264	10.892	0.917459	10.892	0.1687083	
10.894	0.1295296	10.894	2.790031	10.894	1.350967	10.894	0.4748907	10.894	0.9156323	10.894	0.1684954	
10.895	0.1305357	10.895	2.78236	10.895	1.347886	10.895	0.4741763	10.895	0.9139038	10.895	0.16781	
10.896	0.1313108	10.896	2.775043	10.896	1.345169	10.896	0.4732371	10.896	0.9125839	10.896	0.1677005	
10.898	0.1321037	10.898	2.767492	10.898	1.341953	10.898	0.4727821	10.898	0.9107889	10.898	0.1676292	
10.899	0.132698	10.899	2.760634	10.899	1.337815	10.899	0.4729667	10.899	0.9084412	10.899	0.1670976	
10.9	0.1328869	10.9	2.753636	10.9	1.333675	10.9	0.4724594	10.9	0.9060228	10.9	0.1668491	
10.902	0.1329474	10.902	2.746843	10.902	1.330052	10.902	0.4714895	10.902	0.9034451	10.902	0.1661298	
10.903	0.132272	10.903	2.73981	10.903	1.326335	10.903	0.4713146	10.903	0.9012762	10.903	0.166307	
10.904	0.1325142	10.904	2.733608	10.904	1.323307	10.904	0.4716932	10.904	0.8991948	10.904	0.166026	
10.906	0.1326346	10.906	2.726302	10.906	1.320054	10.906	0.4714187	10.906	0.8968542	10.906	0.1660803	
10.907	0.1331442	10.907	2.718574	10.907	1.316614	10.907	0.4704913	10.907	0.8947526	10.907	0.1662492	
10.908	0.1337113	10.908	2.712598	10.908	1.313805	10.908	0.4701517	10.908	0.8926866	10.908	0.166455	
10.91	0.1336973	10.91	2.706276	10.91	1.310581	10.909	0.469586	10.91	0.890777	10.91	0.16644	
10.911	0.1340134	10.911	2.700264	10.911	1.307243	10.911	0.4685683	10.911	0.8883014	10.911	0.1657691	
10.912	0.1342488	10.912	2.694043	10.912	1.303702	10.912	0.4677898	10.912	0.8858948	10.912	0.1653101	
10.914	0.1348728	10.914	2.686525	10.914	1.30031	10.913	0.4672369	10.914	0.8844004	10.914	0.1651713	
10.915	0.1360102	10.915	2.680142	10.915	1.297596	10.915	0.4667059	10.915	0.8829193	10.915	0.1656127	
10.916	0.136379	10.916	2.673145	10.916	1.294967	10.916	0.4666753	10.916	0.8809809	10.916	0.1661348	
10.918	0.1361683	10.918	2.665535	10.918	1.291442	10.917	0.4664562	10.918	0.8787153	10.918	0.1662462	
10.919	0.1363313	10.919	2.658616	10.919	1.288607	10.919	0.4656426	10.919	0.8771109	10.919	0.1661332	
10.92	0.1366767	10.92	2.651745	10.92	1.286639	10.92	0.4647992	10.92	0.8752126	10.92	0.1659676	
10.922	0.1366302	10.922	2.645254	10.922	1.284026	10.921	0.4642331	10.922	0.8723593	10.922	0.1665531	
10.923	0.1371282	10.923	2.639154	10.923	1.281013	10.923	0.4633989	10.923	0.8700022	10.923	0.1674778	
10.924	0.1384211	10.924	2.633218	10.924	1.278541	10.924	0.4628727	10.924	0.8683703	10.924	0.1683145	
10.926	0.1395854	10.926	2.626536	10.926	1.276404	10.925	0.4622039	10.926	0.8663645	10.926	0.168768	
10.927	0.1403214	10.927	2.619986	10.927	1.273176	10.927	0.4621558	10.927	0.8647924	10.927	0.1688957	
10.928	0.1408777	10.928	2.61367	10.928	1.26889	10.928	0.4623837	10.928	0.8633881	10.928	0.1686054	
10.93	0.1412555	10.93	2.606648	10.93	1.264963	10.929	0.4620473	10.93	0.8619943	10.93	0.1684629	
10.931	0.1409758	10.931	2.599954	10.931	1.261594	10.931	0.4621926	10.931	0.8606606	10.931	0.1677052	
10.932	0.1404171	10.932	2.594052	10.932	1.258265	10.932	0.4631898	10.932	0.859436	10.932	0.1679342	
10.934	0.1403782	10.934	2.588258	10.934	1.255001	10.933	0.4634311	10.934	0.8578342	10.934	0.1685324	
