refinement_id,data_reduction_id,final_pdb_path,refinement_mtz_path,rfree,rwork,resolution_cut,crystal_id,run_id,a,b,c,alpha,beta,gamma,method,mtz_path,target_id,compound_drop_id,creator_id,compound_id,name,beamline,volume
64227,37064,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l4p23_03/l4p23_03_001/l4p23_03_001_001_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/l4p23_03/l4p23_03_001/l4p23_03_001_001_aligned.mtz,0.2743,0.2636,1.906,MPro_548_1,1,113.961,53.99,44.806,90.0,102.081,90.0,staraniso,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/autoproc1/l4p23_03/l4p23_03_001/staraniso_alldata-unique.mtz,MPro,548,Susanne/Huijong,SPE_K03665769,SB-452533,p11,269.57473725893647
56238,23105,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A_dmpl2/MPro_5490_1/MPro_5490_1_001/MPro_5490_1_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A_dmpl2/MPro_5490_1/MPro_5490_1_001/MPro_5490_1_001_003_aligned.mtz,0.2591,0.2252,1.6995438670433092,MPro_5490_1,1,113.5793155021915,52.97394534385116,44.87016105175192,90.00000000000001,103.09238679146152,90.0,DIALS_1p7A-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A/MPro_5490_1/MPro_5490_1_001/DataFiles/SARSCOV2_MPro_5490_1_001_free.mtz,MPro,5490,Susanne/Huijong,DOM_SIM_057,,p11,262.95465305288377
60223,23353,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5490_2/MPro_5490_2_001/MPro_5490_2_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5490_2/MPro_5490_2_001/MPro_5490_2_001_003_aligned.mtz,0.2154,0.1832,1.50014734129826,MPro_5490_2,1,112.95527641955859,53.02328046815675,44.68793912541929,90.0,102.90431099888366,89.99999999999999,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5490_2/MPro_5490_2_001/DataFiles/SARSCOV2_MPro_5490_2_001_free.mtz,MPro,5490,Susanne/Huijong,DOM_SIM_057,,p11,260.8880513259595
56240,23546,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A_dmpl2/MPro_5493_0/MPro_5493_0_001/MPro_5493_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A_dmpl2/MPro_5493_0/MPro_5493_0_001/MPro_5493_0_001_003_aligned.mtz,0.2654,0.228,1.699663994956104,MPro_5493_0,1,113.18062217325875,53.25155043897296,44.69153001678279,90.00000000000001,103.00401983666404,90.0,DIALS_1p7A-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_1p7A/MPro_5493_0/MPro_5493_0_001/DataFiles/SARSCOV2_MPro_5493_0_001_free.mtz,MPro,5493,Nadine/Robin,APO,,p11,262.4499256850327
60224,23355,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5495_0/MPro_5495_0_001/MPro_5495_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5495_0/MPro_5495_0_001/MPro_5495_0_001_003_aligned.mtz,0.2251,0.1962,1.6499179317202883,MPro_5495_0,1,113.45943291995658,53.28925820202612,44.701359334397054,90.00000000000001,103.05851563062339,90.00000000000001,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5495_0/MPro_5495_0_001/DataFiles/SARSCOV2_MPro_5495_0_001_free.mtz,MPro,5495,Hina/Robin,DOM_SIM_200,,p11,263.28269090895003
60225,23356,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5495_1/MPro_5495_1_001/MPro_5495_1_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5495_1/MPro_5495_1_001/MPro_5495_1_001_003_aligned.mtz,0.2131,0.18,1.678671861042064,MPro_5495_1,1,113.81347042255237,53.609929521962385,44.66503569968584,90.0,102.93139635419953,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5495_1/MPro_5495_1_001/DataFiles/SARSCOV2_MPro_5495_1_001_free.mtz,MPro,5495,Hina/Robin,DOM_SIM_200,,p11,265.61356191522094
60226,23357,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_0/MPro_5497_0_001/MPro_5497_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_0/MPro_5497_0_001/MPro_5497_0_001_003_aligned.mtz,0.2183,0.1921,1.5399141857234115,MPro_5497_0,1,113.25172751136682,53.18496182203544,44.497355477985714,90.0,102.9511137563461,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5497_0/MPro_5497_0_001/DataFiles/SARSCOV2_MPro_5497_0_001_free.mtz,MPro,5497,Hina/Robin,DOM_SIM_201,,p11,261.20242416336913
60227,23358,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_1/MPro_5497_1_001/MPro_5497_1_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_1/MPro_5497_1_001/MPro_5497_1_001_003_aligned.mtz,0.2216,0.1854,1.7396891931439769,MPro_5497_1,1,113.23054728550471,53.17451066425543,44.68825195774405,90.00000000000001,102.96457333908315,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5497_1/MPro_5497_1_001/DataFiles/SARSCOV2_MPro_5497_1_001_free.mtz,MPro,5497,Hina/Robin,DOM_SIM_201,,p11,262.2082280828829
60228,23359,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_2/MPro_5497_2_001/MPro_5497_2_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_2/MPro_5497_2_001/MPro_5497_2_001_003_aligned.mtz,0.2392,0.2207,1.8300237636310588,MPro_5497_2,1,113.37779342746913,53.304090394459536,44.71979460638748,90.00000000000001,103.04686524396634,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5497_2/MPro_5497_2_001/DataFiles/SARSCOV2_MPro_5497_2_001_free.mtz,MPro,5497,Hina/Robin,DOM_SIM_201,,p11,263.2874178912169
60229,23360,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_3/MPro_5497_3_001/MPro_5497_3_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5497_3/MPro_5497_3_001/MPro_5497_3_001_003_aligned.mtz,0.2203,0.1904,1.7690408792152017,MPro_5497_3,1,112.62803915473516,52.97301875020746,44.77601649458701,90.00000000000001,102.68967900175177,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5497_3/MPro_5497_3_001/DataFiles/SARSCOV2_MPro_5497_3_001_free.mtz,MPro,5497,Hina/Robin,DOM_SIM_201,,p11,260.61954065838927
